id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
52107,Female,Loyal Customer,41,Personal Travel,Eco,639,3,1,3,4,5,3,5,5,4,2,3,3,3,5,0,0,dissatisfied
29900,Female,Loyal Customer,28,Business travel,Eco,503,2,1,1,1,2,2,2,2,2,5,3,4,3,2,16,19,dissatisfied
7855,Male,Loyal Customer,15,Personal Travel,Eco,1005,4,3,4,3,4,3,3,2,4,4,1,3,3,3,392,401,dissatisfied
63279,Female,Loyal Customer,38,Business travel,Business,337,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,0,satisfied
101891,Female,Loyal Customer,33,Business travel,Business,2039,1,1,1,1,4,4,4,4,4,4,4,4,4,5,15,0,satisfied
1315,Female,disloyal Customer,25,Business travel,Business,247,4,5,5,3,3,5,3,3,5,3,5,5,5,3,0,0,satisfied
58855,Male,Loyal Customer,48,Business travel,Business,488,4,4,4,4,2,5,4,4,4,4,4,3,4,3,0,6,satisfied
63900,Female,Loyal Customer,39,Business travel,Business,3180,1,1,1,1,5,5,5,4,4,4,4,5,4,4,0,0,satisfied
102582,Female,disloyal Customer,26,Business travel,Eco Plus,407,4,1,4,3,1,4,1,1,1,5,2,2,3,1,40,33,dissatisfied
16408,Female,Loyal Customer,7,Personal Travel,Eco,533,1,5,1,1,3,1,3,3,5,4,5,3,5,3,7,3,dissatisfied
102080,Female,Loyal Customer,59,Business travel,Business,226,4,4,4,4,3,5,4,4,4,4,4,3,4,4,2,0,satisfied
64499,Female,Loyal Customer,42,Business travel,Business,3943,1,3,3,3,2,3,4,2,2,2,1,2,2,2,0,0,dissatisfied
121161,Female,Loyal Customer,40,Business travel,Eco,2521,3,1,1,1,3,3,3,4,3,1,2,3,3,3,6,49,dissatisfied
126716,Male,Loyal Customer,39,Business travel,Business,2402,4,4,4,4,3,5,5,4,4,4,4,5,4,5,17,0,satisfied
41417,Male,Loyal Customer,22,Personal Travel,Eco,913,4,5,4,2,4,4,3,4,5,4,5,3,5,4,0,0,dissatisfied
77654,Male,Loyal Customer,35,Business travel,Eco,813,4,3,4,4,4,4,4,4,4,1,2,3,2,4,0,0,dissatisfied
31080,Male,Loyal Customer,56,Business travel,Eco Plus,775,2,2,2,2,2,2,2,2,4,1,4,4,4,2,4,6,dissatisfied
50272,Female,Loyal Customer,22,Business travel,Business,110,0,5,0,2,1,1,1,1,3,1,3,2,1,1,0,0,satisfied
83509,Male,Loyal Customer,27,Personal Travel,Eco,946,2,4,2,4,5,2,5,5,2,3,3,1,3,5,78,85,dissatisfied
100947,Female,Loyal Customer,51,Business travel,Business,2147,2,2,2,2,5,4,5,5,5,5,5,5,5,3,25,3,satisfied
59419,Male,Loyal Customer,62,Personal Travel,Eco,2556,2,5,2,3,4,2,5,4,3,4,4,3,4,4,1,0,dissatisfied
119695,Female,Loyal Customer,46,Business travel,Business,1303,4,4,3,4,3,5,4,5,5,5,5,5,5,3,0,0,satisfied
5059,Female,Loyal Customer,52,Business travel,Business,3394,2,2,2,2,3,4,5,5,5,5,5,4,5,4,0,25,satisfied
30299,Male,Loyal Customer,12,Business travel,Eco,1476,5,2,2,2,5,5,5,5,2,4,3,4,3,5,0,0,satisfied
108325,Female,Loyal Customer,46,Business travel,Business,1844,5,5,5,5,4,4,4,5,5,5,5,4,5,5,39,43,satisfied
81384,Female,Loyal Customer,49,Business travel,Eco,874,2,3,3,3,5,3,3,2,2,2,2,1,2,1,0,0,dissatisfied
124708,Female,Loyal Customer,61,Personal Travel,Eco,399,2,4,2,1,4,5,5,5,5,2,5,3,5,5,5,0,dissatisfied
5601,Male,Loyal Customer,30,Business travel,Business,3263,1,1,1,1,3,4,3,3,3,2,5,3,5,3,23,23,satisfied
4832,Female,Loyal Customer,42,Business travel,Business,500,5,5,5,5,2,4,5,4,4,4,4,3,4,4,0,1,satisfied
61601,Male,Loyal Customer,43,Business travel,Business,1346,1,1,1,1,5,4,5,2,2,2,2,4,2,5,0,7,satisfied
124898,Female,Loyal Customer,45,Business travel,Business,728,2,2,5,2,3,5,4,5,5,5,5,4,5,4,0,0,satisfied
24992,Female,Loyal Customer,51,Business travel,Business,2607,5,5,5,5,3,3,3,4,4,4,4,2,4,1,0,0,satisfied
121129,Male,Loyal Customer,36,Business travel,Business,2402,1,1,1,1,2,3,5,5,5,5,5,4,5,3,0,0,satisfied
79627,Male,disloyal Customer,26,Business travel,Eco,760,2,2,2,3,1,2,1,1,3,4,4,4,3,1,15,0,dissatisfied
22511,Male,disloyal Customer,38,Business travel,Eco Plus,83,1,2,2,4,5,2,5,5,1,4,5,5,1,5,5,11,dissatisfied
28843,Male,Loyal Customer,43,Business travel,Eco,954,3,4,4,4,3,3,3,3,4,2,2,4,3,3,0,0,satisfied
58615,Female,Loyal Customer,42,Business travel,Business,1507,2,2,2,2,2,5,4,3,3,4,3,4,3,5,15,6,satisfied
30969,Female,Loyal Customer,41,Business travel,Eco Plus,1024,4,2,2,2,3,1,4,4,4,4,4,2,4,4,37,55,satisfied
7390,Male,Loyal Customer,42,Business travel,Business,3419,1,1,1,1,3,4,5,4,4,4,4,5,4,4,0,0,satisfied
7165,Male,Loyal Customer,38,Business travel,Eco,135,4,3,3,3,4,4,4,4,3,5,3,2,3,4,0,43,dissatisfied
42228,Male,Loyal Customer,40,Business travel,Business,550,3,5,5,5,3,3,4,3,3,3,3,1,3,1,0,0,dissatisfied
122606,Female,Loyal Customer,48,Business travel,Eco,728,4,5,5,5,5,3,4,4,4,4,4,1,4,4,0,0,dissatisfied
82640,Female,Loyal Customer,55,Personal Travel,Eco Plus,528,1,4,1,4,2,3,4,1,1,1,1,3,1,1,10,9,dissatisfied
48780,Male,Loyal Customer,18,Business travel,Business,3932,4,3,4,4,3,3,4,3,3,5,3,3,4,3,0,0,dissatisfied
48867,Female,Loyal Customer,51,Business travel,Business,158,5,5,5,5,1,4,5,4,4,4,5,3,4,4,0,0,satisfied
58598,Female,Loyal Customer,66,Personal Travel,Eco,334,2,5,5,4,3,4,5,3,3,5,3,4,3,4,0,0,dissatisfied
27560,Male,Loyal Customer,34,Personal Travel,Eco,937,2,4,2,2,2,2,2,2,1,5,2,3,3,2,20,21,dissatisfied
126312,Male,Loyal Customer,30,Personal Travel,Eco,590,4,5,4,1,2,4,2,2,1,2,3,4,5,2,0,0,dissatisfied
79641,Male,disloyal Customer,35,Business travel,Eco,760,4,4,4,3,2,4,2,2,2,2,5,1,5,2,64,52,dissatisfied
110173,Female,Loyal Customer,21,Personal Travel,Eco,882,3,3,3,3,3,3,3,3,3,3,4,5,4,3,0,0,dissatisfied
11439,Male,Loyal Customer,31,Business travel,Eco Plus,163,1,5,4,4,1,1,1,1,2,4,1,4,1,1,0,0,dissatisfied
7223,Male,Loyal Customer,61,Business travel,Business,135,4,3,5,3,2,3,3,1,1,1,4,3,1,4,0,0,dissatisfied
95713,Female,Loyal Customer,42,Business travel,Business,3698,4,1,1,1,5,4,4,4,4,4,4,4,4,1,1,4,dissatisfied
22314,Female,Loyal Customer,21,Business travel,Eco,208,2,1,1,1,2,2,3,2,4,1,4,4,4,2,14,13,dissatisfied
81059,Male,Loyal Customer,18,Personal Travel,Eco,1399,2,2,2,3,1,2,1,1,1,4,3,4,3,1,1,0,dissatisfied
95403,Female,Loyal Customer,39,Personal Travel,Eco,239,4,5,4,3,3,4,3,3,3,4,4,5,4,3,61,57,dissatisfied
122304,Female,Loyal Customer,22,Personal Travel,Eco,573,2,5,2,3,4,2,4,4,4,3,5,5,5,4,0,7,dissatisfied
55295,Male,Loyal Customer,9,Personal Travel,Eco,1608,3,5,3,2,4,3,4,4,4,4,3,4,4,4,13,0,dissatisfied
51262,Female,Loyal Customer,34,Business travel,Eco Plus,110,5,4,1,4,5,5,5,5,2,1,5,3,5,5,28,19,satisfied
13458,Female,Loyal Customer,21,Personal Travel,Eco,409,3,4,3,1,3,3,3,3,1,1,4,2,3,3,71,83,dissatisfied
64475,Male,disloyal Customer,23,Business travel,Business,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,satisfied
105681,Female,Loyal Customer,38,Business travel,Business,663,4,4,4,4,5,5,5,4,4,5,4,3,4,4,32,51,satisfied
54911,Male,Loyal Customer,33,Business travel,Eco Plus,794,3,3,3,3,3,3,3,3,4,4,2,1,3,3,0,0,dissatisfied
55288,Female,Loyal Customer,59,Business travel,Eco,1585,4,2,5,2,3,4,3,4,4,4,4,3,4,2,0,0,satisfied
128351,Male,Loyal Customer,44,Business travel,Business,2694,1,1,1,1,2,4,4,4,4,4,4,5,4,5,0,0,satisfied
88939,Male,Loyal Customer,35,Business travel,Business,1697,5,5,5,5,3,5,5,4,4,4,4,5,4,4,12,18,satisfied
97455,Female,Loyal Customer,55,Business travel,Business,2699,2,2,2,2,2,5,4,3,3,3,3,4,3,4,0,3,satisfied
50601,Male,Loyal Customer,43,Personal Travel,Eco,304,2,5,2,5,5,2,1,5,3,3,5,5,5,5,0,0,dissatisfied
32676,Female,Loyal Customer,36,Business travel,Business,101,1,4,5,5,1,3,4,4,4,4,1,2,4,4,0,3,dissatisfied
125534,Male,Loyal Customer,39,Business travel,Business,226,4,4,4,4,2,5,4,5,5,4,5,4,5,4,4,5,satisfied
17348,Male,Loyal Customer,58,Business travel,Eco,563,2,3,3,3,2,2,2,2,1,4,3,1,3,2,0,0,dissatisfied
78988,Female,Loyal Customer,51,Business travel,Business,3593,2,2,2,2,3,5,5,4,4,4,4,5,4,5,0,0,satisfied
4958,Male,disloyal Customer,26,Business travel,Business,931,0,0,0,3,2,0,2,2,3,2,4,4,5,2,0,0,satisfied
112074,Male,Loyal Customer,52,Business travel,Business,1491,4,4,4,4,4,5,4,4,4,5,4,3,4,3,10,0,satisfied
128105,Male,Loyal Customer,40,Personal Travel,Business,1587,3,4,3,4,2,5,5,5,5,3,5,3,5,3,0,0,dissatisfied
748,Male,Loyal Customer,54,Business travel,Business,2385,1,1,1,1,3,4,4,4,4,4,4,5,4,5,0,0,satisfied
31819,Female,Loyal Customer,55,Business travel,Business,2762,3,3,3,3,5,5,5,3,4,4,4,5,4,5,0,0,satisfied
14061,Male,Loyal Customer,60,Business travel,Business,319,3,3,3,3,4,1,1,5,5,5,5,5,5,1,0,0,satisfied
39324,Female,Loyal Customer,35,Business travel,Eco Plus,67,4,2,2,2,4,4,4,4,1,2,2,2,2,4,4,10,satisfied
120888,Female,disloyal Customer,23,Business travel,Business,992,4,1,4,3,1,4,1,1,1,5,4,3,4,1,0,0,dissatisfied
27951,Male,disloyal Customer,44,Business travel,Eco,897,3,3,3,4,1,3,1,1,2,4,5,5,3,1,11,0,dissatisfied
96160,Female,Loyal Customer,32,Business travel,Business,3147,4,1,4,4,4,4,4,4,5,4,5,4,4,4,7,9,satisfied
62701,Male,Loyal Customer,54,Business travel,Business,2556,2,2,2,2,4,4,4,3,5,4,5,4,5,4,8,39,satisfied
49934,Male,Loyal Customer,39,Business travel,Eco,308,5,2,2,2,5,5,5,5,4,3,4,3,2,5,0,2,satisfied
117670,Male,Loyal Customer,40,Personal Travel,Eco,1449,1,1,0,2,0,4,4,3,4,3,2,4,4,4,205,210,dissatisfied
77070,Female,Loyal Customer,39,Business travel,Business,991,4,2,4,4,2,3,3,4,4,4,4,1,4,4,0,0,dissatisfied
85319,Male,Loyal Customer,46,Personal Travel,Eco,1282,2,4,2,1,5,2,5,5,3,4,4,5,4,5,35,14,dissatisfied
119461,Male,Loyal Customer,60,Business travel,Business,2085,5,5,5,5,3,5,4,4,4,4,4,3,4,4,7,0,satisfied
121419,Female,disloyal Customer,45,Business travel,Business,331,2,2,2,2,4,2,4,4,5,5,5,4,4,4,0,0,dissatisfied
126389,Male,Loyal Customer,10,Personal Travel,Eco,650,2,5,2,4,1,2,1,1,4,2,4,2,1,1,0,0,dissatisfied
71308,Male,Loyal Customer,31,Business travel,Business,1514,2,2,2,2,4,4,4,4,5,5,4,3,5,4,0,0,satisfied
93738,Male,Loyal Customer,31,Business travel,Business,368,2,2,2,2,4,4,4,4,5,3,5,5,4,4,0,4,satisfied
115033,Male,disloyal Customer,22,Business travel,Business,417,4,2,4,5,4,4,4,4,3,2,5,5,4,4,0,0,satisfied
18088,Female,Loyal Customer,50,Personal Travel,Eco,488,3,5,3,1,3,4,5,5,5,3,5,5,5,3,0,0,dissatisfied
39583,Female,disloyal Customer,25,Business travel,Eco,965,3,3,3,4,4,3,4,4,2,4,4,4,3,4,0,0,dissatisfied
107613,Female,Loyal Customer,29,Business travel,Business,423,1,3,3,3,1,1,1,1,4,3,3,3,3,1,15,6,dissatisfied
95922,Male,Loyal Customer,49,Business travel,Eco,1411,4,2,4,2,3,4,3,3,1,3,2,1,2,3,33,14,dissatisfied
27601,Female,Loyal Customer,50,Personal Travel,Eco,679,2,1,2,4,1,4,3,2,2,2,1,1,2,3,0,0,dissatisfied
43771,Male,disloyal Customer,24,Business travel,Eco,481,3,3,4,3,2,4,2,2,4,3,4,2,3,2,10,0,dissatisfied
119980,Male,Loyal Customer,14,Personal Travel,Eco,868,2,4,2,3,4,2,4,4,1,2,4,3,4,4,0,11,dissatisfied
60916,Male,disloyal Customer,28,Business travel,Business,888,4,4,4,3,4,4,4,2,4,3,3,4,3,4,241,218,dissatisfied
9087,Male,Loyal Customer,57,Personal Travel,Eco,173,1,1,0,3,5,0,3,5,4,3,3,2,3,5,0,26,dissatisfied
98606,Male,Loyal Customer,37,Business travel,Business,3549,3,3,3,3,5,5,5,5,5,5,5,5,5,5,169,184,satisfied
93700,Female,Loyal Customer,48,Business travel,Eco Plus,1452,1,5,5,5,3,3,3,2,2,1,2,1,2,4,1,17,dissatisfied
117908,Female,disloyal Customer,23,Business travel,Business,365,0,4,0,3,1,0,1,1,5,2,4,3,5,1,9,0,satisfied
111393,Female,Loyal Customer,33,Personal Travel,Eco,1180,3,5,4,3,5,4,5,5,3,5,4,3,4,5,6,0,dissatisfied
8962,Female,disloyal Customer,17,Business travel,Eco,812,5,4,4,3,3,4,3,3,5,2,2,4,5,3,0,0,satisfied
111437,Male,Loyal Customer,51,Business travel,Business,3748,5,5,5,5,3,5,5,4,4,4,4,4,4,3,24,17,satisfied
4500,Male,Loyal Customer,52,Business travel,Business,3814,4,4,4,4,3,5,5,4,4,4,4,3,4,5,0,0,satisfied
82686,Female,Loyal Customer,72,Business travel,Business,1934,5,5,5,5,4,5,5,4,4,4,4,5,4,3,0,0,satisfied
94878,Male,Loyal Customer,39,Business travel,Eco,248,3,4,5,4,3,3,3,3,3,4,4,1,4,3,2,8,dissatisfied
47110,Male,Loyal Customer,43,Business travel,Business,2076,2,2,2,2,5,2,4,5,5,5,5,1,5,5,0,0,satisfied
102238,Female,Loyal Customer,44,Business travel,Eco,414,1,3,3,3,4,3,2,1,1,1,1,4,1,1,20,13,dissatisfied
103589,Male,Loyal Customer,42,Business travel,Business,2381,1,1,1,1,2,5,4,5,5,5,5,3,5,5,5,0,satisfied
12202,Male,disloyal Customer,27,Business travel,Business,201,0,0,0,3,2,0,2,2,5,4,4,3,4,2,0,7,satisfied
5124,Female,Loyal Customer,55,Business travel,Business,3048,4,4,4,4,3,5,4,5,5,5,4,3,5,5,0,0,satisfied
13507,Male,Loyal Customer,24,Business travel,Business,214,3,3,3,3,5,5,4,5,4,1,3,5,2,5,4,23,satisfied
101740,Male,Loyal Customer,57,Business travel,Business,1590,1,1,5,1,4,5,4,2,2,3,2,4,2,5,9,0,satisfied
106863,Female,Loyal Customer,53,Business travel,Business,3044,1,1,1,1,5,4,4,4,4,4,4,3,4,5,0,0,satisfied
124386,Female,Loyal Customer,63,Personal Travel,Eco,575,4,4,4,1,2,4,4,3,3,4,2,5,3,4,0,1,dissatisfied
12693,Male,Loyal Customer,25,Business travel,Business,721,3,3,3,3,2,2,2,2,1,2,1,4,3,2,0,0,satisfied
2365,Female,Loyal Customer,31,Business travel,Eco,925,2,4,4,4,2,2,2,2,3,5,4,3,4,2,29,44,dissatisfied
32388,Female,Loyal Customer,55,Business travel,Eco,101,4,5,5,5,2,3,2,4,4,4,4,3,4,5,0,0,satisfied
91436,Male,Loyal Customer,55,Personal Travel,Business,859,1,4,1,1,2,5,5,1,1,1,1,4,1,4,10,35,dissatisfied
42677,Female,Loyal Customer,41,Business travel,Eco,627,2,3,5,5,2,2,2,2,2,1,4,1,4,2,0,0,dissatisfied
120586,Male,Loyal Customer,49,Business travel,Eco,980,3,2,2,2,4,3,4,4,4,4,3,2,3,4,76,96,dissatisfied
25712,Female,Loyal Customer,50,Business travel,Eco,447,3,1,1,1,4,4,4,4,4,3,4,3,4,1,11,0,satisfied
7231,Female,Loyal Customer,43,Business travel,Eco,135,3,5,5,5,4,4,4,3,3,3,3,3,3,1,42,55,dissatisfied
6674,Male,Loyal Customer,59,Business travel,Business,438,1,1,1,1,5,5,5,4,4,4,4,5,4,4,8,2,satisfied
